Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_1,1,Forehand,13,14,0.03,54.3,27.15,31.54,31.67,89.35,92.13,8.76,30.66,1.19
Player_1,2,Backhand,27,31,0.13,1281.12,779.44,5.13,21.24,52.07,79.84,29.18,31.66,15.98
Player_1,3,Forehand,37,38,0.03,187.13,93.57,12.17,13.19,9.4,9.89,65.18,1.87,2.08
Player_1,4,Forehand,41,43,0.07,1498.83,561.02,1.72,7.09,15.13,30.56,65.46,18.57,11.97
Player_1,5,Backhand,57,62,0.17,2163.83,1011.74,1.43,40.12,31.4,39.42,21.4,32.02,59.81
Player_1,6,Forehand,71,87,0.53,12434.76,4688.54,3.68,63.05,4.73,46.76,13.31,172.38,54.35
Player_1,7,Backhand,88,111,0.77,4439.65,1826.14,3.96,68.62,5.84,51.33,6.7,269.32,107.3
Player_1,8,Backhand,113,128,0.5,2389.84,1049.37,8.71,30.21,82.78,131.15,30.88,32.64,29.28
Player_1,9,Backhand,135,136,0.03,265.67,132.84,47.99,48.44,52.21,54.0,106.53,1.32,1.19
Player_1,10,Forehand,143,146,0.1,1174.71,545.33,43.85,45.43,5.84,16.97,131.49,10.66,16.58
Player_1,11,Forehand,148,151,0.1,613.17,413.7,51.36,55.0,28.5,46.06,146.13,22.2,21.61
Player_1,12,Forehand,881,885,0.13,1562.94,762.05,157.41,163.45,106.67,112.76,173.53,10.78,9.07
Player_1,13,Backhand,944,945,0.03,353.94,176.97,179.09,179.39,131.5,132.0,167.57,2.43,0.83
Player_1,14,Backhand,947,950,0.1,816.67,396.89,178.42,178.79,133.97,139.9,166.58,2.4,5.37
Player_1,15,Backhand,953,955,0.07,663.15,254.65,177.34,178.19,149.45,154.36,166.49,3.68,6.88
Player_1,16,Backhand,959,960,0.03,353.01,176.5,170.64,170.76,144.23,145.47,166.55,1.89,0.43
Player_1,17,Backhand,962,964,0.07,855.0,415.57,169.18,170.82,137.95,140.18,169.69,5.88,8.93
Player_1,18,Backhand,968,969,0.03,349.48,174.74,168.14,168.38,120.98,122.49,174.01,2.94,1.91
Player_1,19,Backhand,1053,1054,0.03,380.91,190.46,178.02,178.62,141.58,141.94,176.24,1.25,4.36
Player_1,20,Backhand,1056,1060,0.13,1299.83,721.16,174.31,176.65,136.73,140.62,178.47,4.16,8.09
Player_1,21,Forehand,1079,1080,0.03,89.64,44.82,158.71,158.91,109.81,110.06,173.55,0.36,1.23
Player_1,22,Forehand,1085,1086,0.03,182.04,91.02,163.12,163.43,108.96,109.32,176.25,1.01,0.31
Player_1,23,Backhand,1133,1136,0.1,993.27,548.35,168.09,170.86,130.25,135.8,159.01,11.13,10.38
Player_1,24,Backhand,1140,1143,0.1,1855.66,839.64,160.89,170.82,141.45,148.89,157.18,6.62,6.04
Player_1,25,Backhand,1150,1151,0.03,209.0,104.5,172.77,172.99,160.4,160.91,162.08,1.01,0.72
Player_1,26,Backhand,1155,1156,0.03,167.22,83.61,171.19,172.12,153.6,154.01,164.31,0.2,0.21
Player_1,27,Backhand,1162,1163,0.03,405.39,202.7,160.43,161.35,137.2,138.54,166.66,0.23,0.8
Player_1,28,Backhand,1166,1168,0.07,728.36,320.76,158.79,161.64,130.92,135.08,171.44,7.04,4.89
Player_1,29,Backhand,1259,1260,0.03,128.76,64.38,160.01,160.43,127.6,128.32,151.48,5.42,3.81
Player_1,30,Backhand,1482,1483,0.03,146.42,73.21,178.66,179.28,109.38,109.45,178.11,0.15,1.83
Player_1,31,Backhand,1521,1523,0.07,1039.25,389.34,173.76,174.09,103.53,103.74,175.88,3.01,2.59
Player_1,32,Forehand,1823,1831,0.27,6796.03,1636.16,148.8,163.78,126.72,139.25,148.6,13.32,124.31
